road,Accidents
"(11621598, 899279747, 0)",3
"(11621598, 899279750, 0)",1
"(11621669, 1610670714, 0)",3
"(11621669, 1986902865, 0)",1
"(11621712, 60624880, 0)",2
"(11621712, 693004282, 0)",2
"(11621724, 11621777, 0)",1
"(11621861, 7619826340, 0)",2
"(11621870, 8994370171, 0)",2
"(13140511, 13891959, 0)",1
"(13807321, 13807323, 0)",2
"(13807323, 13807321, 0)",7
"(13807323, 935630644, 0)",2
"(13807344, 907813386, 0)",1
"(13891959, 13140511, 0)",1
"(13891959, 2895394639, 0)",3
"(13891961, 13891962, 0)",1
"(13891966, 252909658, 0)",1
"(13891984, 7235622124, 0)",1
"(14569454, 1056977613, 0)",2
"(14569454, 9115485877, 0)",3
"(14569462, 85883115, 0)",2
"(14569462, 415324240, 0)",1
"(14569471, 9831976, 0)",1
"(14569471, 85880779, 0)",1
"(14908198, 13891993, 0)",2
"(18485738, 345800063, 0)",1
"(18485738, 3258888561, 0)",4
"(18485751, 1916263387, 0)",1
"(18485757, 1897167713, 0)",1
"(18485757, 1916263363, 0)",5
"(18485917, 386215930, 0)",2
"(18485917, 5750379395, 0)",2
"(18578400, 18485918, 0)",1
"(18578400, 19033280, 0)",1
"(18667962, 18667963, 0)",1
"(18667963, 18667962, 0)",3
"(18667963, 1643932253, 0)",8
"(18667965, 1643932255, 0)",3
"(18667968, 263924011, 0)",1
"(18667968, 772740105, 0)",2
"(18667968, 11087471841, 0)",3
"(18667969, 243731490, 0)",1
"(18667971, 49536273, 0)",3
"(18667971, 153723131, 0)",3
"(18667971, 243731361, 0)",1
"(18667971, 243731494, 0)",2
"(18667974, 51342222, 0)",1
"(18667975, 51342222, 0)",5
"(18667975, 5322450812, 0)",1
"(18667981, 21069412, 0)",9
"(18667981, 993673517, 0)",1
"(18667984, 18667991, 0)",4
"(18667984, 21042104, 0)",6
"(18667991, 18667984, 0)",2
"(18667991, 20694268, 0)",4
"(18667992, 20694268, 0)",1
"(18667992, 1378792124, 0)",9
"(19033280, 386215930, 0)",1
"(19033282, 21099203, 0)",1
"(19033282, 350215638, 0)",2
"(19033290, 350831, 0)",1
"(20621479, 5355637670, 0)",3
"(20621485, 20621479, 0)",2
"(20621504, 20621492, 0)",1
"(20621509, 21285342, 0)",1
"(20621540, 20621545, 0)",1
"(20621550, 20621555, 0)",2
"(20621589, 10457613, 0)",1
"(20621600, 199461858, 0)",1
"(20621600, 9250730764, 0)",1
"(20694221, 20694209, 0)",1
"(20694222, 20694221, 0)",1
"(20694229, 20694222, 0)",3
"(20694233, 20694278, 0)",1
"(20694233, 21042099, 0)",2
"(20694233, 243857760, 0)",1
"(20694251, 25893969, 0)",1
"(20694267, 20694268, 0)",1
"(20694268, 18667991, 0)",2
"(20694268, 18667992, 0)",3
"(20938947, 20938949, 0)",1
"(20938951, 20938952, 0)",2
"(20938954, 27562984, 0)",3
"(20938955, 27562972, 0)",1
"(20938985, 20938987, 0)",2
"(20939349, 21272403, 0)",1
"(20939349, 27556011, 0)",1
"(20939357, 20939356, 0)",1
"(20939436, 20939437, 0)",1
"(20939437, 20939436, 0)",1
"(20939437, 20939439, 0)",1
"(20939444, 27304120, 0)",2
"(20939582, 27556007, 0)",1
"(20939583, 20939665, 0)",1
"(20939583, 664061585, 0)",1
"(20939605, 20940458, 0)",1
"(20939665, 20939583, 0)",1
"(20939672, 20939665, 0)",2
"(20939672, 21004219, 0)",1
"(20939699, 20939701, 0)",1
"(20939728, 28092958, 0)",1
"(20939748, 21004201, 0)",2
"(20939751, 20939750, 0)",1
"(20939809, 21004202, 0)",2
"(20939809, 27402100, 0)",1
"(20939811, 27402100, 0)",1
"(20939819, 1332261540, 0)",1
"(20939893, 20939894, 0)",1
"(20939899, 6817899610, 0)",1
"(20939909, 20939899, 0)",4
"(20939909, 20939914, 0)",1
"(20939914, 20939909, 0)",1
"(20940049, 29059170, 0)",3
